Accent
Accident
Acousti
Acoustic
Actors
Adversity
Affection
Affection
Afternoon
Age 11
Age 29
Age 3
Age 7
Age 75
Age 78
Age 85
Age 86
Air
Alternative knowledge source
Anger
Animals → domesticated
Animals → domesticated → cats
Anxiety about uncertainty
Appreciation
Argentina
Autumn
Awakening
Awkward encounter
Balancing
Basement
Bat
Bath
Bath
Bathroom
Bathroom cabinet
Becoming non-human
Becoming the other
Bed
Bedroom
Bedside table
Bees
Birds
Bird's eye perspective
Biting
Black
Blood
Blood
Blue
Blue
Bodily fluids
Body gestures
Body language
Body part
Body_position
Body → position → balancing
Body → position → leaning forwards
Body → position → lying down
Body → position → sitting
Body → position → standing
Bones
Botanical description
Brain
Branch
Breakup
Brow
Brown
Building hardware
Cats
Challenge
Change of voice
Chewing
Children
China
Choking
Circumscribed expression
City
Class division
Cleanliness
Climbing
Cloas
Closeness 
Clothing
Coastal reefs
Coast of the Caribbean sea
Codes I'm still testing
Codes I'm still testing → gender amibvalence
Collossal
Colour
Colour_gold
Colour_pink
Command by higher powers
Communication networks
Confession
Confidence
Conscious self
Control
Corner
Couch
Coughing
Countries
Country
Couple
Crawling
Creative coping strategy
Creek
Creeping
Crikets
Crisis
Crying
Cupbord
Deer
Defense mechanisms 
Defense mechanisms → control
Delusion
Dependence
Desire_for_praise
Desire to merge with boundlessness
Devour
Difficulty
Disease
Display of affection
Disruption
Distruption
Dogs
Domesticated 
Door
Door jamb
Drawer
Dream
Dreams
Dressing table
Drink
Drowning
Drugs
Ear
Eggs
Ego-boost
Embarrassment
Embodiment
Emotions and feelings
English culture
Enjoyment
Evening
Examination
Experience
Experiencing two conflicting realities
Expressway
Eyebrows
Facial gestures
Falling
Family disharmony
Feeling_frustration
Feeling_guilt
Feeling_heaviness
Feeling_insult
Feeling_mixed
Feeling_negative
Feeling_pleasure
Feelings
Fictional prose
Fingers
Floating
Food
Food
Forced politeness
Fox
Frustration
Furniture
Furniture
Gender  amibvalence
General entity
Generational trauma
Gesture
Giggling
Gland
Gland
Goldie Locks'
Granddaughter
Grandmother
Gray
Gray
Green
Grocery store 
Guilt
Gully
Gum
Hair
Hallway
Hallway
Hammers
Hands
Hand touching
Head
Heel pivoting
Heels
Helplessness
Historical event
Horns
Hospital
House
House
Humour
Hunger
Hybridity
Hygiene
Imagination
Improvisation
Inadequate working condition
Inside the body
Insight
Insulted
Intake
Intergenerational trauma
In the ground
Invisibility
Jaw
Jelly fish
Keen observation
Kidneys
Kinship
Kitchen
Larynx
Leaning forwards
Legs
Lethargic
LGBTQ
Library
Licking
Lightness
Lips
Living room
Lobby
Location
Loosing time
Lost at sea
Loving critique
Loving_critique
Lying down
Maintaining calm
Mallards
Marriage
Mattress
Measure of time
Medic
Medicament
Medium
Memorialisation
Memory
Memory
Metaphor
Mind
Morning
Mouth
Movement
Multisensory
Mythical revelation
Nails
Natural phenomena
Neck
Neck
Negative feeling_frustration
Negative feeling_heaviness
Neon alley
Nervousness
New York
Normality
Nose
Nurse
Objects treatment
Object_table
Observation
Ocean
Olfactory communication
Olfactory sensations
Orchids
Other bodies as oppressive
Outfit
Outfits and clothing
Outfit transformation
Parts of the day
Past self
Penguins
Penis
Pink
Pink
Piss
Place_bar
Place → grocery store
Place of isolation
Plankton
Plants as companions
Playlist
Pleasant
Police
Polyps
Porch
Position 
Post office
Potential threat
Pretence
Pretence
Prison
Procrastination
Profession
Projection
Prometheus
Pro-Western issue
Pro-western issue
Punishment
Purple
Purple
Radio
Rationalisation
Reaction
Reaction_curiosity
Reaction_startled
Reaction_surprise
Rearranging
Reflex
Refreshment
Reimagining myths
Relationship
Relation to non human - connection to (predominantly) animals
Re-occurring dream
 residential building
Restlessness
Restricted expression
Restriction
Ritual
Road
Romance at work
Room
Roots
Routine
Running
Sadness
Salty
School at home
Sculptural artefacts
Sea bottom
Seasons
Seaweed
Selective visibility
Self-absorbed
Self-defence
Self-justification
Self-reflection
Sensation in spine
Sense of age
Sense of age difference
Sense of humour
Sense of time
Septuagenarian
Shades of invisibility
Shared perception
Sherman
Side gate
Sinuses
Sitting
Snote
Social distance
Social groups
Socialisation
Socializing
Soil
Sound
Sour
Space
Speachless
Spreading
Squirrels
Stagnation of form
Staircase
Standing
State of body
State of body and mind
State of mind
Stinking
Stomach
Stool
Street
Stubbornness
Sudden personal narration
Sudden realisation
Sweet
Sweet
Swimming
Tactile
Taste
Teacher
Tears
Technology usage
Teeth
Test code hugi
Testicles
Test tag
The Hammer
The Orchid
The other
The other → closeness
Thinking
Threatening other unknown agency
Thymic opposition
Timelessness
Time passing slowly
Time stops
Tobacco use
Toes
Toilet
Tongue
Toora loora toora loo rye aye
Transformation
Transforming
Transgression
Transparency
Troath
Truth as weapon
Uncertain period of time
Uncleanness
Uncontrollable feelings
Unhuman
Unpleasant
Urinary bladder
Urine
Uterus
Visual
Vivid metaphor
Walking
Warmth
Water
Waterfalls
Weather_rain
Wellbeing
Western culture
White
Whole skin
Wild
Wisdom
Withdrawing
Woods
World building
Writers block
Yellow
Zeldas Guest
